trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_trip_requests_1,num_cars_region_1,num_trip_requests_2,num_cars_region_2,num_trip_requests_3,num_cars_region_3
0,23.5,14.75,0.35931375363076296,0.8605324074074074,0.04456018518518518,0.0949074074074074,8.479166666666666,10.4375,5.979166666666667,0.30497685185185186,0.35358796296296297,0.3414351851851852,4.5,2.4375,4.5,1.7708333333333333,3.0833333333333335,1.5208333333333333,2.6666666666666665,2.7916666666666665
1,23.5,14.75,0.38663032951731086,0.8396990740740741,0.04108796296296296,0.11921296296296297,9.104166666666666,9.791666666666666,5.458333333333333,0.3368055555555556,0.36053240740740744,0.30266203703703703,4.5,2.6875,4.5,2.2708333333333335,3.0833333333333335,2.2083333333333335,2.6666666666666665,2.1875
2,23.5,14.75,0.3509583882348956,0.875,0.04050925925925926,0.08449074074074074,8.416666666666666,10.479166666666666,6.125,0.3287037037037037,0.38078703703703703,0.29050925925925924,4.5,2.4166666666666665,4.5,2.5416666666666665,3.0833333333333335,1.4583333333333333,2.6666666666666665,1.8958333333333333
3,23.5,14.75,0.35118006763230697,0.8142361111111112,0.037037037037037035,0.14872685185185186,8.291666666666666,10.854166666666666,6.1875,0.36284722222222227,0.33101851851851855,0.30613425925925924,4.5,2.125,4.5,3.5208333333333335,3.0833333333333335,1.8958333333333333,2.6666666666666665,3.1666666666666665
4,23.5,14.75,0.36539278880284637,0.8206018518518517,0.036458333333333336,0.1429398148148148,8.645833333333334,10.479166666666666,5.833333333333333,0.37789351851851855,0.36574074074074076,0.25636574074074076,4.5,2.4166666666666665,4.5,3.4791666666666665,3.0833333333333335,1.375,2.6666666666666665,2.875
5,23.5,14.75,0.38003837648363875,0.8703703703703703,0.04108796296296296,0.08854166666666667,9.083333333333334,10.166666666666666,5.479166666666667,0.30613425925925924,0.3697916666666667,0.32407407407407407,4.5,2.5625,4.5,2.3125,3.0833333333333335,1.3541666666666667,2.6666666666666665,2.375
6,23.5,14.75,0.3506978421615363,0.8668981481481483,0.04513888888888889,0.08796296296296297,8.5,10.583333333333334,6.0,0.2916666666666667,0.3912037037037037,0.3171296296296296,4.5,2.3125,4.5,2.1875,3.0833333333333335,1.7291666666666667,2.6666666666666665,1.9583333333333333
7,23.5,14.75,0.36217545454150235,0.8761574074074074,0.04398148148148148,0.0798611111111111,8.708333333333334,10.520833333333334,5.8125,0.3020833333333333,0.38483796296296297,0.31307870370370366,4.5,2.0833333333333335,4.5,1.8541666666666667,3.0833333333333335,2.0208333333333335,2.6666666666666665,1.9791666666666667
8,23.5,14.75,0.33815129308155983,0.8292824074074074,0.04108796296296296,0.12962962962962962,8.145833333333334,10.6875,6.354166666666667,0.35590277777777773,0.31655092592592593,0.3275462962962963,4.5,1.9375,4.5,2.4375,3.0833333333333335,2.0833333333333335,2.6666666666666665,3.125
9,23.5,14.75,0.34403934900123984,0.8177083333333334,0.03587962962962963,0.14641203703703703,8.208333333333334,10.520833333333334,6.3125,0.39641203703703703,0.3229166666666667,0.2806712962962963,4.5,2.0833333333333335,4.5,2.1458333333333335,3.0833333333333335,2.7916666666666665,2.6666666666666665,3.125
